track_title,track_n,lyric,line,section,album_name
Maroon,2,"And how the blood rushed into my cheeks, so scarlet, it was (maroon)",29,6,Midnights
Maroon,2,"The mark you saw on my collarbone, the rust that grew between telephones",30,6,Midnights
Maroon,2,"The lips I used to call home, so scarlet, it was (maroon)",31,6,Midnights
Maroon,2,And I wake with your memory over me,32,7,Midnights
Maroon,2,"That's a real f*cking legacy, legacy (it was maroon)",33,7,Midnights
Maroon,2,And I wake with your memory over me,34,7,Midnights
Maroon,2,That's a real f*cking legacy to leave,35,7,Midnights
Maroon,2,The burgundy on my T-shirt when you splashed your wine into me,36,8,Midnights
Maroon,2,"And how the blood rushed into my cheeks, so scarlet (it was maroon)",37,8,Midnights
Maroon,2,"The mark you saw on my collarbone, the rust that grew between telephones",38,8,Midnights
Maroon,2,"The lips I used to call home, so scarlet (it was maroon)",39,8,Midnights
Maroon,2,It was maroon,40,9,Midnights
Maroon,2,It was maroon,41,9,Midnights
Anti-Hero,3,I have this thing where I get older but just never wiser,1,1,Midnights
Anti-Hero,3,Midnights become my afternoons,2,1,Midnights
Anti-Hero,3,When my depression works the graveyard shift,3,1,Midnights
Anti-Hero,3,All of the people I've ghosted stand there in the room,4,1,Midnights
Anti-Hero,3,I should not be left to my own devices,5,2,Midnights
Anti-Hero,3,They come with prices and vices,6,2,Midnights
Anti-Hero,3,I end up in crisis (tale as old as time),7,2,Midnights
Anti-Hero,3,I wake up screaming from dreaming,8,2,Midnights
Anti-Hero,3,One day I'll watch as you're leaving,9,2,Midnights
Anti-Hero,3,'Cause you got tired of my scheming,10,2,Midnights
Anti-Hero,3,(For the last time),11,2,Midnights
Anti-Hero,3,"It's me, hi, I'm the problem, it's me",12,3,Midnights
Anti-Hero,3,"At tea time, everybody agrees",13,3,Midnights
Anti-Hero,3,I'll stare directly at the sun but never in the mirror,14,3,Midnights
Anti-Hero,3,It must be exhausting always rooting for the anti-hero,15,3,Midnights
Anti-Hero,3,Sometimes I feel like everybody is a sexy baby,16,4,Midnights
Anti-Hero,3,And I'm a monster on the hill,17,4,Midnights
Anti-Hero,3,"Too big to hang out, slowly lurching toward your favorite city",18,4,Midnights
Anti-Hero,3,"Pierced through the heart, but never killed",19,4,Midnights
Anti-Hero,3,Did you hear my covert narcissism I disguise as altruism,20,5,Midnights
Anti-Hero,3,Like some kind of congressman? (Tale as old as time),21,5,Midnights
Anti-Hero,3,I wake up screaming from dreaming,22,5,Midnights
Anti-Hero,3,One day I'll watch as you're leaving,23,5,Midnights
Anti-Hero,3,And life will lose all its meaning,24,5,Midnights
Anti-Hero,3,(For the last time),25,5,Midnights
Anti-Hero,3,"It's me, hi, I'm the problem, it's me (I'm the problem, it's me)",26,6,Midnights
Anti-Hero,3,"At tea time, everybody agrees",27,6,Midnights
Anti-Hero,3,I'll stare directly at the sun but never in the mirror,28,6,Midnights
Anti-Hero,3,It must be exhausting always rooting for the anti-hero,29,6,Midnights
Anti-Hero,3,I have this dream my daughter in-law kills me for the money,30,7,Midnights
Anti-Hero,3,She thinks I left them in the will,31,7,Midnights
Anti-Hero,3,The family gathers 'round and reads it and then someone screams out,32,7,Midnights
Anti-Hero,3,"""She's laughing up at us from hell""",33,7,Midnights
Anti-Hero,3,"It's me, hi, I'm the problem, it's me",34,8,Midnights
Anti-Hero,3,"It's me, hi, I'm the problem, it's me",35,8,Midnights
Anti-Hero,3,"It's me, hi, everybody agrees, everybody agrees",36,8,Midnights
Anti-Hero,3,"It's me, hi (hi), I'm the problem, it's me (I'm the problem, it's me)",37,9,Midnights
Anti-Hero,3,"At tea (tea) time (time), everybody agrees (everybody agrees)",38,9,Midnights
Anti-Hero,3,I'll stare directly at the sun but never in the mirror,39,9,Midnights
Anti-Hero,3,It must be exhausting always rooting for the anti-hero,40,9,Midnights
Snow On The Beach,4,"One night, a few moons ago",1,1,Midnights
Snow On The Beach,4,I saw flecks of what could've been lights,2,1,Midnights
Snow On The Beach,4,But it might just have been you,3,1,Midnights
Snow On The Beach,4,Passing by unbeknownst to me,4,1,Midnights
Snow On The Beach,4,Life is emotionally abusive,5,1,Midnights
Snow On The Beach,4,And time can't stop me quite like you did,6,1,Midnights
Snow On The Beach,4,"And my flight was awful, thanks for asking",7,1,Midnights
Snow On The Beach,4,"I'm unglued, thanks to you",8,1,Midnights
Snow On The Beach,4,And it's like snow at the beach,9,2,Midnights
Snow On The Beach,4,Weird but f*ckin' beautiful,10,2,Midnights
Snow On The Beach,4,"Flying in a dream, stars by the pocketful",11,2,Midnights
Snow On The Beach,4,You wanting me tonight feels impossible,12,2,Midnights
Snow On The Beach,4,"But it's comin' down, no sound, it's all around",13,2,Midnights
Snow On The Beach,4,Like snow on the beach,14,2,Midnights
Snow On The Beach,4,Like snow on the beach,15,2,Midnights
Snow On The Beach,4,Like snow on the beach,16,2,Midnights
Snow On The Beach,4,"Like snow, oh, oh oh",17,2,Midnights
Snow On The Beach,4,This scene feels like what I once saw on a screen,18,3,Midnights
Snow On The Beach,4,I searched aurora borealis green,19,3,Midnights
Snow On The Beach,4,I've never seen someone lit from within,20,3,Midnights
Snow On The Beach,4,Blurring out my periphery,21,3,Midnights
Snow On The Beach,4,My smile is like I won a contest,22,3,Midnights
Snow On The Beach,4,And to hide that would be so dishonest,23,3,Midnights
Snow On The Beach,4,And it's fine to fake it 'til you make it,24,3,Midnights
Snow On The Beach,4,"'Til you do, 'til it's true",25,3,Midnights
Snow On The Beach,4,Now it's like snow at the beach,26,4,Midnights
Snow On The Beach,4,Weird but f*ckin' beautiful,27,4,Midnights
Snow On The Beach,4,"Flying in a dream, stars by the pocketful",28,4,Midnights
Snow On The Beach,4,You wanting me tonight feels impossible,29,4,Midnights
Snow On The Beach,4,"But it's comin' down, no sound, it's all around",30,4,Midnights
Snow On The Beach,4,Like snow on the beach,31,4,Midnights
Snow On The Beach,4,Like snow on the beach,32,4,Midnights
Snow On The Beach,4,Like snow on the beach,33,4,Midnights
Snow On The Beach,4,"Like snow, oh, oh oh",34,4,Midnights
Snow On The Beach,4,I (I) can't (can't) speak afraid to jinx it,35,5,Midnights
Snow On The Beach,4,I (I) don't (don't) even dare to wish it,36,5,Midnights
Snow On The Beach,4,But your eyes are flying saucers from another planet,37,5,Midnights
Snow On The Beach,4,Now I'm all for you like Janet,38,5,Midnights
Snow On The Beach,4,Can this be a real thing? Can it?,39,5,Midnights
Snow On The Beach,4,Are we falling like snow at the beach? (Snow at the beach),40,6,Midnights
Snow On The Beach,4,Weird but f*ckin' beautiful,41,6,Midnights
Snow On The Beach,4,"Flying in a dream, stars by the pocketful (flying in a dream)",42,6,Midnights
Snow On The Beach,4,You wanting me tonight feels impossible (you wanting me),43,6,Midnights
Snow On The Beach,4,"But it's comin' down, no sound, it's all around",44,6,Midnights
Snow On The Beach,4,Like snow on the beach (snow on the beach),45,6,Midnights
Snow On The Beach,4,Like snow on the beach (flying in a dream),46,6,Midnights
Snow On The Beach,4,Like snow on the beach (you wanting me),47,6,Midnights
Snow On The Beach,4,"Like snow, oh",48,6,Midnights
Snow On The Beach,4,"But it's comin' down, no sound, it's all around",49,6,Midnights
Snow On The Beach,4,"Like snow on the beach (it's comin' down, it's comin' down)",50,7,Midnights
Snow On The Beach,4,"(It's comin' down, it's comin' down)",51,7,Midnights
Snow On The Beach,4,(Like snow on the beach),52,7,Midnights
Snow On The Beach,4,"(It's comin' down, it's comin' down, it's comin' down, it's comin' down)",53,7,Midnights
Snow On The Beach,4,"(It's comin' down, it's comin' down, it's comin' down, it's comin' down)",54,7,Midnights
Snow On The Beach,4,"(Comin' down, it's comin' down, it's comin' down, it's comin' down)",55,7,Midnights
"You're On Your Own, Kid",5,"Summer went away, still the yearning stays",1,1,Midnights
"You're On Your Own, Kid",5,I play it cool with the best of them,2,1,Midnights
"You're On Your Own, Kid",5,"I wait patiently, he's gonna notice me",3,1,Midnights
"You're On Your Own, Kid",5,"It's okay, we're the best of friends",4,1,Midnights
"You're On Your Own, Kid",5,Anyway,5,1,Midnights
"You're On Your Own, Kid",5,"I hear it in your voice, you're smokin' with your boys",6,1,Midnights
"You're On Your Own, Kid",5,I touch my phone as if it's your face,7,1,Midnights
"You're On Your Own, Kid",5,"I didn't choose this town, I dream of getting out",8,1,Midnights
"You're On Your Own, Kid",5,There's just one who could make me stay,9,1,Midnights
"You're On Your Own, Kid",5,All my days,10,1,Midnights
"You're On Your Own, Kid",5,From sprinkler splashes to fireplace ashes,11,2,Midnights
"You're On Your Own, Kid",5,I waited ages to see you there,12,2,Midnights
"You're On Your Own, Kid",5,I searched the party of better bodies,13,2,Midnights
"You're On Your Own, Kid",5,Just to learn that you never cared,14,2,Midnights
"You're On Your Own, Kid",5,"You're on your own, kid",15,3,Midnights
"You're On Your Own, Kid",5,You always have been,16,3,Midnights
"You're On Your Own, Kid",5,"I see the great escape, so long, Daisy May",17,4,Midnights
"You're On Your Own, Kid",5,"I picked the petals, he loves me not",18,4,Midnights
"You're On Your Own, Kid",5,"Something different bloomed, writing in my room",19,4,Midnights
"You're On Your Own, Kid",5,I play my songs in the parking lot,20,4,Midnights
"You're On Your Own, Kid",5,I'll run away,21,4,Midnights
"You're On Your Own, Kid",5,From sprinkler splashes to fireplace ashes,22,5,Midnights
"You're On Your Own, Kid",5,I called a taxi to take me there,23,5,Midnights
"You're On Your Own, Kid",5,I searched the party of better bodies,24,5,Midnights
"You're On Your Own, Kid",5,Just to learn that my dreams aren't rare,25,5,Midnights
"You're On Your Own, Kid",5,"You're on your own, kid",26,6,Midnights
"You're On Your Own, Kid",5,You always have been,27,6,Midnights
"You're On Your Own, Kid",5,From sprinkler splashes to fireplace ashes,28,7,Midnights
"You're On Your Own, Kid",5,"I gave my blood, sweat, and tears for this",29,7,Midnights
"You're On Your Own, Kid",5,I hosted parties and starved my body,30,7,Midnights
"You're On Your Own, Kid",5,Like I'd be saved by a perfect kiss,31,7,Midnights
"You're On Your Own, Kid",5,"The jokes weren't funny, I took the money",32,7,Midnights
"You're On Your Own, Kid",5,My friends from home don't know what to say,33,7,Midnights
"You're On Your Own, Kid",5,I looked around in a blood-soaked gown,34,7,Midnights
"You're On Your Own, Kid",5,And I saw something they can't take away,35,7,Midnights
"You're On Your Own, Kid",5,'Cause there were pages turned with the bridges burned,36,7,Midnights
"You're On Your Own, Kid",5,Everything you lose is a step you take,37,7,Midnights
"You're On Your Own, Kid",5,"So make the friendship bracelets, take the moment and taste it",38,7,Midnights
"You're On Your Own, Kid",5,You've got no reason to be afraid,39,7,Midnights
"You're On Your Own, Kid",5,"You're on your own, kid",40,8,Midnights
"You're On Your Own, Kid",5,"Yeah, you can face this",41,8,Midnights
"You're On Your Own, Kid",5,"You're on your own, kid",42,8,Midnights
"You're On Your Own, Kid",5,You always have been,43,8,Midnights
Midnight Rain,6,"Rain, he wanted it comfortable",1,1,Midnights
Midnight Rain,6,I wanted that pain,2,1,Midnights
Midnight Rain,6,He wanted a bride,3,1,Midnights
Midnight Rain,6,I was making my own name,4,1,Midnights
Midnight Rain,6,Chasing that fame,5,1,Midnights
Midnight Rain,6,He stayed the same,6,1,Midnights
Midnight Rain,6,All of me changed like midnight,7,1,Midnights
Midnight Rain,6,My town was a wasteland,8,2,Midnights
Midnight Rain,6,"Full of cages, full of fences",9,2,Midnights
Midnight Rain,6,Pageant queens and big pretenders,10,2,Midnights
Midnight Rain,6,But for some it was paradise,11,2,Midnights
Midnight Rain,6,My boy was a montage,12,3,Midnights
Midnight Rain,6,A slow-motion love potion,13,3,Midnights
Midnight Rain,6,Jumping off things in the ocean,14,3,Midnights
Midnight Rain,6,I broke his heart 'cause he was nice,15,3,Midnights
Midnight Rain,6,"He was sunshine, I was midnight",16,3,Midnights
Midnight Rain,6,"Rain, he wanted it comfortable",17,4,Midnights
Midnight Rain,6,I wanted that pain,18,4,Midnights
Midnight Rain,6,He wanted a bride,19,4,Midnights
Midnight Rain,6,I was making my own name,20,4,Midnights
Midnight Rain,6,Chasing that fame,21,4,Midnights
Midnight Rain,6,He stayed the same,22,4,Midnights
Midnight Rain,6,All of me changed like midnight,23,4,Midnights
Midnight Rain,6,It came like a postcard,24,5,Midnights
Midnight Rain,6,"Picture perfect, shiny family",25,5,Midnights
Midnight Rain,6,Holiday peppermint candy,26,5,Midnights
Midnight Rain,6,But for him it's every day,27,5,Midnights
Midnight Rain,6,So I peered through a window,28,6,Midnights
Midnight Rain,6,"A deep portal, time travel",29,6,Midnights
Midnight Rain,6,All the love we unraveled,30,6,Midnights
Midnight Rain,6,And the life I gave away,31,6,Midnights
Midnight Rain,6,"'Cause he was sunshine, I was midnight",32,6,Midnights
Midnight Rain,6,"Rain, he wanted it comfortable",33,7,Midnights
Midnight Rain,6,I wanted that pain,34,7,Midnights
Midnight Rain,6,He wanted a bride,35,7,Midnights
Midnight Rain,6,I was making my own name,36,7,Midnights
Midnight Rain,6,Chasing that fame,37,7,Midnights
Midnight Rain,6,He stayed the same,38,7,Midnights
Midnight Rain,6,All of me changed like midnight,39,7,Midnights
Midnight Rain,6,"Rain, he wanted it comfortable",40,8,Midnights
Midnight Rain,6,I wanted that pain,41,8,Midnights
Midnight Rain,6,He wanted a bride,42,8,Midnights
Midnight Rain,6,I was making my own name,43,8,Midnights
Midnight Rain,6,Chasing that fame,44,8,Midnights
Midnight Rain,6,He stayed the same,45,8,Midnights
Midnight Rain,6,All of me changed like midnight,46,8,Midnights
Midnight Rain,6,I guess sometimes we all get,47,9,Midnights
Midnight Rain,6,"Just what we wanted, just what we wanted",48,9,Midnights
Midnight Rain,6,And he never thinks of me,49,9,Midnights
Midnight Rain,6,Except when I'm on TV,50,9,Midnights
Midnight Rain,6,I guess sometimes we all get,51,10,Midnights
Midnight Rain,6,"Some kind of haunted, some kind of haunted",52,10,Midnights
Midnight Rain,6,And I never think of him,53,10,Midnights
Midnight Rain,6,Except on midnights like this,54,10,Midnights
Midnight Rain,6,"(Midnight's like this, midnight's like this)",55,10,Midnights
Question...?,7,(I remember),1,1,Midnights
Question...?,7,"Good girl, sad boy",2,2,Midnights
Question...?,7,"Big city, wrong choices",3,2,Midnights
Question...?,7,We had one thing going on,4,2,Midnights
Question...?,7,I swear that it was somethin',5,2,Midnights
Question...?,7,'Cause I don't remember who I was,6,2,Midnights
Question...?,7,Before you painted all my nights,7,2,Midnights
Question...?,7,A color I've searched for since,8,2,Midnights
Question...?,7,But one thing after another,9,2,Midnights
Question...?,7,"F*ckin' situation, circumstances",10,2,Midnights
Question...?,7,Miscommunications,11,2,Midnights
Question...?,7,"And I have to say, by the way",12,2,Midnights
Question...?,7,I just may like some explanations,13,2,Midnights
Question...?,7,Can I ask you a question?,14,3,Midnights
Question...?,7,Did you ever have someone kiss you in a crowded room,15,3,Midnights
Question...?,7,And every single one of your friends was makin' fun of you,16,3,Midnights
Question...?,7,"But fifteen seconds later, they were clappin', too?",17,3,Midnights
Question...?,7,"Then, what did you do?",18,3,Midnights
Question...?,7,Did you leave her house in the middle of the night? (Oh),19,3,Midnights
Question...?,7,Did you wish you'd put up more of a fight? Oh,20,3,Midnights
Question...?,7,When she said it was too much?,21,3,Midnights
Question...?,7,Do you wish you could still touch her?,22,3,Midnights
Question...?,7,It's just a question,23,3,Midnights
Question...?,7,"Half-moon eyes, bad surprise",24,4,Midnights
Question...?,7,Did you realize out of time,25,4,Midnights
Question...?,7,She was on your mind with some dickhead guy,26,4,Midnights
Question...?,7,"That you saw that night, but you were on something",27,4,Midnights
Question...?,7,It was one drink after another,28,4,Midnights
Question...?,7,F*cking politics and gender-roles,29,4,Midnights
Question...?,7,And you're not sure and I don't know,30,4,Midnights
Question...?,7,Got swept away in the gray,31,4,Midnights
Question...?,7,I just may like to have a conversation,32,4,Midnights
Question...?,7,Can I ask you a question?,33,5,Midnights
Question...?,7,Did you ever have someone kiss you in a crowded room,34,5,Midnights
Question...?,7,And every single one of your friends was makin' fun of you,35,5,Midnights
Question...?,7,"But fifteen seconds later, they were clappin', too?",36,5,Midnights
Question...?,7,"Then, what did you do?",37,5,Midnights
Question...?,7,Did you leave her house in the middle of the night? (Oh),38,5,Midnights
Question...?,7,Did you wish you'd put up more of a fight? Oh,39,5,Midnights
Question...?,7,When she said it was too much?,40,5,Midnights
Question...?,7,Do you wish you could still touch her?,41,5,Midnights
Question...?,7,It's just a question,42,5,Midnights
Question...?,7,Does it feel like everything's just like,43,6,Midnights
Question...?,7,Second-best after that meteor strike?,44,6,Midnights
Question...?,7,And what's that that I heard? That you're still with her,45,6,Midnights
Question...?,7,"That's nice, I'm sure that's what's suitable",46,6,Midnights
Question...?,7,"And right, but tonight",47,6,Midnights
Question...?,7,Can I ask you a question? (Can I ask you a question?),48,7,Midnights
Question...?,7,Did you ever have someone kiss you in a crowded room (in a crowded room),49,7,Midnights
Question...?,7,And every single one of your friends was makin' fun of you (makin' fun of you),50,7,Midnights
Question...?,7,"But fifteen seconds later, they were clappin', too?",51,7,Midnights
Question...?,7,Then what did you do? (Do),52,7,Midnights
Question...?,7,Did you leave her house in the middle of the night? (Oh),53,7,Midnights
Question...?,7,Did you wish you'd put up more of a fight? Oh (more of a fight),54,7,Midnights
Question...?,7,When she said it was too much?,55,7,Midnights
Question...?,7,Do you wish you could still touch her?,56,7,Midnights
Question...?,7,It's just a question,57,7,Midnights
Vigilante Shit,8,Draw the cat eye sharp enough to kill a man,1,1,Midnights
Vigilante Shit,8,"You did some bad things, but I'm the worst of them",2,1,Midnights
Vigilante Shit,8,Sometimes I wonder which one'll be your last lie,3,1,Midnights
Vigilante Shit,8,They say looks can kill and I might try,4,1,Midnights
Vigilante Shit,8,I don't dress for women,5,1,Midnights
Vigilante Shit,8,I don't dress for men,6,1,Midnights
Vigilante Shit,8,"Lately, I've been dressing for revenge",7,1,Midnights
Vigilante Shit,8,"I don't start shit, but I can tell you how it ends",8,2,Midnights
Vigilante Shit,8,"Don't get sad, get even",9,2,Midnights
Vigilante Shit,8,So on the weekends,10,2,Midnights
Vigilante Shit,8,I don't dress for friends,11,2,Midnights
Vigilante Shit,8,"Lately, I've been dressing for revenge",12,2,Midnights
Vigilante Shit,8,"She needed cold, hard proof, so I give her some",13,3,Midnights
Vigilante Shit,8,"She had the envelope, where you think she got it from?",14,3,Midnights
Vigilante Shit,8,"Now she gets the house, gets the kids, gets the pride",15,3,Midnights
Vigilante Shit,8,Picture me thick as thieves with your ex-wife,16,3,Midnights
Vigilante Shit,8,And she looks so pretty,17,3,Midnights
Vigilante Shit,8,Drivin' in your Benz,18,3,Midnights
Vigilante Shit,8,"Lately, she's been dressing for revenge",19,3,Midnights
Vigilante Shit,8,"She don't start shit, but she can tell you how it ends",20,4,Midnights
Vigilante Shit,8,"Don't get sad, get even",21,4,Midnights
Vigilante Shit,8,So on the weekends,22,4,Midnights
Vigilante Shit,8,She don't dress for friends,23,4,Midnights
Vigilante Shit,8,"Lately, she's been dressing for revenge",24,4,Midnights
Vigilante Shit,8,Ladies always rise above,25,5,Midnights
Vigilante Shit,8,Ladies know what people want,26,5,Midnights
Vigilante Shit,8,Someone sweet and kind and fun,27,5,Midnights
Vigilante Shit,8,The ladies simply had enough,28,5,Midnights
Vigilante Shit,8,While he was doin' lines and crossin' all of mine,29,6,Midnights
Vigilante Shit,8,Someone told his white-collar crimes to the FBI,30,6,Midnights
Vigilante Shit,8,And I don't dress for villains,31,6,Midnights
Vigilante Shit,8,Or for innocents,32,6,Midnights
Vigilante Shit,8,I'm on the vigilante shit again,33,6,Midnights
Vigilante Shit,8,"I don't start shit, but I can tell you how it ends",34,7,Midnights
Vigilante Shit,8,"Don't get sad, get even",35,7,Midnights
Vigilante Shit,8,So on the weekends,36,7,Midnights
Vigilante Shit,8,I don't dress for friends,37,7,Midnights
Vigilante Shit,8,"Lately, I've been dressing for revenge",38,7,Midnights
Bejeweled,9,"Baby love, I think I've been a little too kind",1,1,Midnights
Bejeweled,9,Didn't notice you walking all over my peace of mind,2,1,Midnights
Bejeweled,9,In the shoes I gave you as a present,3,1,Midnights
Bejeweled,9,Puttin' someone first only works when you're in their top five,4,1,Midnights
Bejeweled,9,"And by the way, I'm going out tonight",5,1,Midnights
Bejeweled,9,Best believe I'm still bejeweled,6,2,Midnights
Bejeweled,9,When I walk in the room,7,2,Midnights
Bejeweled,9,I can still make the whole place shimmer,8,2,Midnights
Bejeweled,9,And when I meet the band,9,2,Midnights
Bejeweled,9,"They ask, ""Do you have a man?""",10,2,Midnights
Bejeweled,9,"I can still say, ""I don't remember""",11,2,Midnights
Bejeweled,9,Familiarity breeds contempt,12,2,Midnights
Bejeweled,9,Don't put me in the basement,13,2,Midnights
Bejeweled,9,When I want the penthouse of your heart,14,2,Midnights
Bejeweled,9,Diamonds in my eyes,15,2,Midnights
Bejeweled,9,"I polish up real, I polish up real nice",16,2,Midnights
Bejeweled,9,Nice,17,3,Midnights
Bejeweled,9,"Baby boy, I think I've been too good of a girl (too good of a girl)",18,4,Midnights
Bejeweled,9,"Did all the extra credit, then got graded on a curve",19,4,Midnights
Bejeweled,9,I think it's time to teach some lessons,20,4,Midnights
Bejeweled,9,"I made you my world (huh), have you heard? (Huh)",21,4,Midnights
Bejeweled,9,I can reclaim the land,22,4,Midnights
Bejeweled,9,And I miss you (I miss you),23,4,Midnights
Bejeweled,9,"But I miss sparkling (ah, hey)",24,4,Midnights
Bejeweled,9,Best believe I'm still bejeweled,25,5,Midnights
Bejeweled,9,When I walk in the room,26,5,Midnights
Bejeweled,9,I can still make the whole place shimmer,27,5,Midnights
Bejeweled,9,And when I meet the band,28,5,Midnights
Bejeweled,9,"They ask, ""Do you have a man?""",29,5,Midnights
Bejeweled,9,"I can still say, ""I don't remember""",30,5,Midnights
Bejeweled,9,Familiarity breeds contempt,31,5,Midnights
Bejeweled,9,Don't put me in the basement,32,5,Midnights
Bejeweled,9,When I want the penthouse of your heart,33,5,Midnights
Bejeweled,9,Diamonds in my eyes,34,5,Midnights
Bejeweled,9,"I polish up real, I polish up real nice",35,5,Midnights
Bejeweled,9,Nice,36,6,Midnights
Bejeweled,9,Sapphire tears on my face,37,7,Midnights
Bejeweled,9,Sadness became my whole sky,38,7,Midnights
Bejeweled,9,But some guy said my aura's moonstone,39,7,Midnights
Bejeweled,9,Just 'cause he was high,40,7,Midnights
Bejeweled,9,And we're dancin' all night,41,7,Midnights
Bejeweled,9,And you can try to change my mind,42,7,Midnights
Bejeweled,9,But you might have to wait in line,43,7,Midnights
Bejeweled,9,What's a girl gonna do?,44,7,Midnights
Bejeweled,9,A diamond's gotta shine,45,7,Midnights
Bejeweled,9,Best believe I'm still bejeweled,46,8,Midnights
Bejeweled,9,When I walk in the room,47,8,Midnights
Bejeweled,9,I can still make the whole place shimmer (shimmer),48,8,Midnights
Bejeweled,9,And when I meet the band,49,8,Midnights
Bejeweled,9,"They ask, ""Do you have a man?""",50,8,Midnights
Bejeweled,9,"I can still say, ""I don't remember""",51,8,Midnights
Bejeweled,9,Familiarity breeds contempt,52,8,Midnights
Bejeweled,9,Don't put me in the basement,53,8,Midnights
Bejeweled,9,When I want the penthouse of your heart,54,8,Midnights
Bejeweled,9,Diamonds in my eyes,55,8,Midnights
